sgrna	Gene	control_count	treatment_count	control_mean	treat_mean	LFC	control_var	adj_var	score	p.low	p.high	p.twosided	FDR	high_in_treatment
chr2:23155716-23155739	MASTL	0	83.52	1.0876	83.52	5.3394	3487.8	2.2222	55.297	1	0	0	0	True
chr17:31648665-31648688	U2AF1	0	80.672	1.0876	80.672	5.2899	3254	2.2222	53.387	1	0	0	0	True
chrX:20669147-20669170	UBA1	0	80.672	1.0876	80.672	5.2899	3254	2.2222	53.387	1	0	0	0	True
chr9:27056111-27056134	NCAPD3	0	79.723	1.0876	79.723	5.2731	3177.9	2.2222	52.75	1	0	0	0	True
chr15:39124474-39124497	DCAF13	1.0876	77.825	1.0876	77.825	5.2387	2944.3	2.2222	51.477	1	0	0	0	True
chr7:128724182-128724205	MCMBP	0	72.131	1.0876	72.131	5.1306	2601.4	2.2222	47.657	1	0	0	0	True
chr8:70677974-70677997	LSM4	0	71.182	1.0876	71.182	5.1117	2533.4	2.2222	47.02	1	0	0	0	True
chrX:20672432-20672455	UBA1	0	68.334	1.0876	68.334	5.0537	2334.8	2.2222	45.11	1	0	0	0	True
chr2:29788554-29788577	COQ4	1.0876	68.334	1.0876	68.334	5.0537	2261.1	2.2222	45.11	1	0	0	0	True
chr3:34650560-34650583	SOX2	10.876	319.84	10.876	319.84	4.7557	47730	47.112	45.014	1	0	0	0	True
chr5:21740039-21740062	PMPCB	0	65.487	1.0876	65.487	4.9932	2144.3	2.2222	43.2	1	0	0	0	True
chr14:55720373-55720396	RABGGTA	0	63.589	1.0876	63.589	4.9514	2021.8	2.2222	41.927	1	0	0	0	True
chr9:59436756-59436779	ARIH1	0	62.64	1.0876	62.64	4.93	1961.9	2.2222	41.29	1	0	0	0	True
chr4:56792443-56792466	IKBKAP	1.0876	61.691	1.0876	61.691	4.9083	1836.4	2.2222	40.654	1	0	0	0	True
chr8:85302917-85302940	ORC6	2.1752	95.858	2.1752	95.858	4.9309	4388.2	5.394	40.337	1	0	0	0	True
chr2:167026189-167026212	DDX27	1.0876	58.843	1.0876	58.843	4.8413	1667.9	2.2222	38.744	1	0	0	0	True
chr2:154603508-154603531	PXMP4	1.0876	58.843	1.0876	58.843	4.8413	1667.9	2.2222	38.744	1	0	0	0	True
chr18:36772259-36772282	HARS	0	56.945	1.0876	56.945	4.7948	1621.4	2.2222	37.47	1	1.8312e-307	3.6624e-307	4.6756e-305	True
chrX:102188328-102188351	RPS4X	1.0876	56.945	1.0876	56.945	4.7948	1560	2.2222	37.47	1	1.8312e-307	3.6624e-307	4.6756e-305	True
chr7:43721378-43721401	KLK13	1.0876	56.945	1.0876	56.945	4.7948	1560	2.2222	37.47	1	1.8312e-307	3.6624e-307	4.6756e-305	True
chr8:92833113-92833136	MMP2	1.0876	55.047	1.0876	55.047	4.7467	1455.8	2.2222	36.197	1	4.4329e-287	8.8658e-287	1.0723e-284	True
chr11:20080673-20080696	ACTR2	1.0876	55.047	1.0876	55.047	4.7467	1455.8	2.2222	36.197	1	4.4329e-287	8.8658e-287	1.0723e-284	True
chr2:28577890-28577913	GTF3C5	3.2628	111.99	3.2628	111.99	4.7283	5911	9.1864	35.874	1	4.5889e-282	9.1777e-282	1.0816e-279	True
chr18:36773515-36773538	HARS	1.0876	54.098	1.0876	54.098	4.7221	1405	2.2222	35.56	1	3.7567e-277	7.5134e-277	8.6329e-275	True
chr7:128714434-128714457	MCMBP	0	53.149	1.0876	53.149	4.697	1412.4	2.2222	34.924	1	2.1234e-267	4.2468e-267	4.5391e-265	True
chr19:5961135-5961158	POLA2	0	53.149	1.0876	53.149	4.697	1412.4	2.2222	34.924	1	2.1234e-267	4.2468e-267	4.5391e-265	True
chr10:111976750-111976773	KRR1	0	53.149	1.0876	53.149	4.697	1412.4	2.2222	34.924	1	2.1234e-267	4.2468e-267	4.5391e-265	True
chr8:107057306-107057329	NIP7	0	52.2	1.0876	52.2	4.6715	1362.4	2.2222	34.287	1	8.0049e-258	1.601e-257	1.6723e-255	True
chr8:85303423-85303446	ORC6	3.2628	104.4	3.2628	104.4	4.6279	5114.3	9.1864	33.369	1	2.2855e-244	4.571e-244	4.6685e-242	True
chr14:54516568-54516591	PRMT5	0	49.353	1.0876	49.353	4.5921	1217.8	2.2222	32.377	1	3.776e-230	7.5519e-230	7.3848e-228	True
chr4:155630217-155630240	CDK11B	0	49.353	1.0876	49.353	4.5921	1217.8	2.2222	32.377	1	3.776e-230	7.5519e-230	7.3848e-228	True
chr5:21738933-21738956	PMPCB	5.438	142.36	5.438	142.36	4.4769	9374.2	18.211	32.086	1	3.8912e-226	7.7824e-226	7.4516e-224	True
chr19:37387190-37387213	KIF11	8.7008	197.41	8.7008	197.41	4.3542	17806	34.605	32.079	1	4.5869e-226	9.1738e-226	8.6047e-224	True
chr11:120413582-120413605	NPLOC4	0	48.403	1.0876	48.403	4.5647	1171.4	2.2222	31.74	1	2.8173e-221	5.6347e-221	4.9802e-219	True
chr7:15945829-15945852	GLTSCR2	0	48.403	1.0876	48.403	4.5647	1171.4	2.2222	31.74	1	2.8173e-221	5.6347e-221	4.9802e-219	True
chr19:13619706-13619729	OLFR1487	1.0876	48.403	1.0876	48.403	4.5647	1119.4	2.2222	31.74	1	2.8173e-221	5.6347e-221	4.9802e-219	True
chr13:100127950-100127973	SMN1	0	47.454	1.0876	47.454	4.5367	1126	2.2222	31.104	1	1.4021e-212	2.8042e-212	2.4317e-210	True
chr18:36772266-36772289	HARS	0	46.505	1.0876	46.505	4.5082	1081.4	2.2222	30.467	1	4.6545e-204	9.309e-204	7.923e-202	True
chr13:23574164-23574187	HIST1H2BF	0	45.556	1.0876	45.556	4.4791	1037.7	2.2222	29.83	1	1.0306e-195	2.0613e-195	1.6917e-193	True
chr2:32259666-32259689	UCK1	0	45.556	1.0876	45.556	4.4791	1037.7	2.2222	29.83	1	1.0306e-195	2.0613e-195	1.6917e-193	True
chr17:6948069-6948092	RSPH3B	0	44.607	1.0876	44.607	4.4493	994.9	2.2222	29.194	1	1.5223e-187	3.0447e-187	2.257e-185	True
chr16:33069957-33069980	LMLN	0	44.607	1.0876	44.607	4.4493	994.9	2.2222	29.194	1	1.5223e-187	3.0447e-187	2.257e-185	True
chr7:96951925-96951948	NARS2	1.0876	44.607	1.0876	44.607	4.4493	946.97	2.2222	29.194	1	1.5223e-187	3.0447e-187	2.257e-185	True
chr5:138455989-138456012	ZFP157	0	44.607	1.0876	44.607	4.4493	994.9	2.2222	29.194	1	1.5223e-187	3.0447e-187	2.257e-185	True
chr11:101093683-101093706	PSMC3IP	0	44.607	1.0876	44.607	4.4493	994.9	2.2222	29.194	1	1.5223e-187	3.0447e-187	2.257e-185	True
chr2:140159712-140159735	ESF1	0	44.607	1.0876	44.607	4.4493	994.9	2.2222	29.194	1	1.5223e-187	3.0447e-187	2.257e-185	True
chr10:76481066-76481089	MCM3AP	0	43.658	1.0876	43.658	4.419	953.01	2.2222	28.557	1	1.4999e-179	2.9999e-179	2.1212e-177	True
chr7:45700478-45700501	CAR11	0	43.658	1.0876	43.658	4.419	953.01	2.2222	28.557	1	1.4999e-179	2.9999e-179	2.1212e-177	True
chr18:80973830-80973853	SALL3	1.0876	43.658	1.0876	43.658	4.419	906.12	2.2222	28.557	1	1.4999e-179	2.9999e-179	2.1212e-177	True
chr14:55746341-55746364	2610027L16RIK	3.2628	88.265	3.2628	88.265	4.3882	3612.7	9.1864	28.045	1	2.6613e-173	5.3227e-173	3.7065e-171	True
chr15:8122093-8122116	NUP155	0	41.76	1.0876	41.76	4.3563	871.94	2.2222	27.284	1	4.3226e-164	8.6453e-164	5.9304e-162	True
chr8:107057157-107057180	NIP7	6.5256	137.62	6.5256	137.62	4.2032	8592.6	23.33	27.141	1	1.7907e-162	3.5813e-162	2.4205e-160	True
chr14:55719488-55719511	RABGGTA	5.438	120.53	5.438	120.53	4.2386	6623.5	18.211	26.97	1	1.8273e-160	3.6546e-160	2.4343e-158	True
chr9:15308784-15308807	TAF1D	0	40.811	1.0876	40.811	4.324	832.76	2.2222	26.647	1	1.2644e-156	2.5287e-156	1.6603e-154	True
chr14:14116901-14116924	PSMD6	2.1752	63.589	2.1752	63.589	4.3464	1885.8	5.394	26.443	1	2.6655e-154	5.3309e-154	3.4508e-152	True
chr1:20814696-20814719	MCM3	1.0876	39.862	1.0876	39.862	4.2908	751.71	2.2222	26.01	1	2.4672e-149	4.9345e-149	3.1498e-147	True
chr3:94886596-94886619	PSMB4	0	37.963	1.0876	37.963	4.2222	720.61	2.2222	24.737	1	2.7897e-135	5.5794e-135	3.4653e-133	True
chr15:25364712-25364735	BASP1	1.0876	37.963	1.0876	37.963	4.2222	679.92	2.2222	24.737	1	2.7897e-135	5.5794e-135	3.4653e-133	True
chr7:15942821-15942844	GLTSCR2	0	37.014	1.0876	37.014	4.1866	685.03	2.2222	24.1	1	1.6166e-128	3.2331e-128	1.9298e-126	True
chr11:115604882-115604905	MRPS7	0	37.014	1.0876	37.014	4.1866	685.03	2.2222	24.1	1	1.6166e-128	3.2331e-128	1.9298e-126	True
chrX:134586078-134586101	RPL36A	0	37.014	1.0876	37.014	4.1866	685.03	2.2222	24.1	1	1.6166e-128	3.2331e-128	1.9298e-126	True
chr2:29790528-29790551	COQ4	2.1752	57.894	2.1752	57.894	4.2132	1552.3	5.394	23.991	1	2.0896e-127	4.1792e-127	2.4625e-125	True
chr11:82742103-82742126	CCT6B	4.3504	91.112	4.3504	91.112	4.1057	3763.8	13.482	23.63	1	1.0817e-123	2.1635e-123	1.2586e-121	True
chr18:10726511-10726534	MIB1	1.0876	36.065	1.0876	36.065	4.1502	611.72	2.2222	23.464	1	6.2502e-122	1.25e-121	7.0928e-120	True
chr8:11244475-11244498	COL4A1	0	36.065	1.0876	36.065	4.1502	650.35	2.2222	23.464	1	6.2502e-122	1.25e-121	7.0928e-120	True
chr2:85414470-85414493	OLFR993	0	35.116	1.0876	35.116	4.1127	616.57	2.2222	22.827	1	1.6124e-115	3.2248e-115	1.7644e-113	True
chr2:167022080-167022103	DDX27	0	35.116	1.0876	35.116	4.1127	616.57	2.2222	22.827	1	1.6124e-115	3.2248e-115	1.7644e-113	True
chr3:94886621-94886644	PSMB4	1.0876	35.116	1.0876	35.116	4.1127	578.97	2.2222	22.827	1	1.6124e-115	3.2248e-115	1.7644e-113	True
chr16:90432776-90432799	HUNK	0	34.167	1.0876	34.167	4.0743	583.7	2.2222	22.19	1	2.7755e-109	5.5511e-109	2.8992e-107	True
chr2:32740639-32740662	6330409D20RIK	0	34.167	1.0876	34.167	4.0743	583.7	2.2222	22.19	1	2.7755e-109	5.5511e-109	2.8992e-107	True
chr6:34875550-34875573	3110062M04RIK	0	34.167	1.0876	34.167	4.0743	583.7	2.2222	22.19	1	2.7755e-109	5.5511e-109	2.8992e-107	True
chr5:108673454-108673477	SLC26A1	1.0876	34.167	1.0876	34.167	4.0743	547.13	2.2222	22.19	1	2.7755e-109	5.5511e-109	2.8992e-107	True
chr5:21742802-21742825	PMPCB	25.015	295.17	25.015	295.17	3.509	36491	151.86	21.922	1	8.1785e-107	1.6357e-106	8.4469e-105	True
chr1:134971265-134971288	UBE2T	4.3504	83.52	4.3504	83.52	3.9816	3133.9	13.482	21.562	1	2.3243e-103	4.6486e-103	2.3739e-101	True
chr8:85303413-85303436	ORC6	0	33.218	1.0876	33.218	4.0348	551.72	2.2222	21.554	1	3.1882e-103	6.3763e-103	3.2204e-101	True
chr18:36772304-36772327	HARS	3.2628	68.334	3.2628	68.334	4.0237	2117.1	9.1864	21.469	1	1.7541e-102	3.5082e-102	1.7337e-100	True
chr11:99015034-99015057	TOP2A	3.2628	68.334	3.2628	68.334	4.0237	2117.1	9.1864	21.469	1	1.7541e-102	3.5082e-102	1.7337e-100	True
chr7:122762257-122762280	CACNG3	1.0876	32.269	1.0876	32.269	3.9943	486.14	2.2222	20.917	1	2.4438e-97	4.8876e-97	2.3646e-95	True
chr17:35021586-35021609	D17H6S56E-3	0	32.269	1.0876	32.269	3.9943	520.64	2.2222	20.917	1	2.4438e-97	4.8876e-97	2.3646e-95	True
chr11:115928183-115928206	RECQL5	0	31.32	1.0876	31.32	3.9525	490.47	2.2222	20.28	1	1.2501e-91	2.5003e-91	1.1847e-89	True
chr7:45702528-45702551	CAR11	1.0876	31.32	1.0876	31.32	3.9525	457	2.2222	20.28	1	1.2501e-91	2.5003e-91	1.1847e-89	True
chr7:64389789-64389812	MPHOSPH10	3.2628	63.589	3.2628	63.589	3.9214	1819.6	9.1864	19.904	1	2.2025e-88	4.405e-88	2.0659e-86	True
chr4:129182013-129182036	S100PBP	6.5256	101.55	6.5256	101.55	3.7684	4515	23.33	19.674	1	1.9809e-86	3.9618e-86	1.8392e-84	True
chr4:126180256-126180279	THRAP3	0	30.371	1.0876	30.371	3.9095	461.19	2.2222	19.644	1	4.268e-86	8.5361e-86	3.8463e-84	True
chr9:41050547-41050570	UBASH3B	0	30.371	1.0876	30.371	3.9095	461.19	2.2222	19.644	1	4.268e-86	8.5361e-86	3.8463e-84	True
chr12:119208534-119208557	ITGB8	0	30.371	1.0876	30.371	3.9095	461.19	2.2222	19.644	1	4.268e-86	8.5361e-86	3.8463e-84	True
chr6:39404828-39404851	MKRN1	4.3504	74.978	4.3504	74.978	3.8279	2494.1	13.482	19.235	1	1.0592e-82	2.1183e-82	9.4522e-81	True
chr6:48702740-48702763	GIMAP6	0	29.422	1.0876	29.422	3.8652	432.82	2.2222	19.007	1	9.7255e-81	1.9451e-80	8.5959e-79	True
chr1:20812666-20812689	MCM3	15.226	179.38	15.226	179.38	3.4746	13473	75.338	18.912	1	4.7374e-80	9.4748e-80	4.1473e-78	True
chr17:46125307-46125330	MRPS18A	79.395	613.11	79.395	613.11	2.9333	1.4243e+05	800.21	18.867	1	1.0643e-79	2.1286e-79	9.2291e-78	True
chr4:116993287-116993310	UROD	3.2628	59.792	3.2628	59.792	3.834	1597.8	9.1864	18.651	1	7.2007e-78	1.4401e-77	6.1859e-76	True
chrX:134586094-134586117	RPL36A	7.6132	107.25	7.6132	107.25	3.6516	4963.4	28.803	18.565	1	3.3657e-77	6.7315e-77	2.8646e-75	True
chr17:31509885-31509908	WDR4	0	28.473	1.0876	28.473	3.8195	405.34	2.2222	18.37	1	1.4792e-75	2.9585e-75	1.225e-73	True
chr17:62650972-62650995	EFNA5	0	28.473	1.0876	28.473	3.8195	405.34	2.2222	18.37	1	1.4792e-75	2.9585e-75	1.225e-73	True
chr14:47381662-47381685	LGALS3	0	28.473	1.0876	28.473	3.8195	405.34	2.2222	18.37	1	1.4792e-75	2.9585e-75	1.225e-73	True
chr4:117891086-117891109	DPH2	0	27.524	1.0876	27.524	3.7722	378.77	2.2222	17.734	1	1.5019e-70	3.0038e-70	1.2217e-68	True
chr18:62986952-62986975	NAPG	1.0876	27.524	1.0876	27.524	3.7722	349.43	2.2222	17.734	1	1.5019e-70	3.0038e-70	1.2217e-68	True
chr14:25646744-25646767	ZMIZ1	7.6132	102.5	7.6132	102.5	3.587	4501.9	28.803	17.68	1	3.2165e-70	6.4329e-70	2.5935e-68	True
chr1:85088780-85088803	A530032D15RIK	8.7008	111.99	8.7008	111.99	3.542	5334.6	34.605	17.559	1	2.7316e-69	5.4632e-69	2.1834e-67	True
chr5:104337634-104337657	MEPE	2.1752	42.709	2.1752	42.709	3.783	821.49	5.394	17.453	1	1.9908e-68	3.9815e-68	1.564e-66	True
chr16:22862628-22862651	DNAJB11	2.1752	42.709	2.1752	42.709	3.783	821.49	5.394	17.453	1	1.9908e-68	3.9815e-68	1.564e-66	True
chr1:3670935-3670958	XKR4	1.0876	26.574	1.0876	26.574	3.7234	324.79	2.2222	17.097	1	1.018e-65	2.036e-65	7.7336e-64	True
chr4:56792094-56792117	IKBKAP	0	26.574	1.0876	26.574	3.7234	353.1	2.2222	17.097	1	1.018e-65	2.036e-65	7.7336e-64	True
chr2:167022070-167022093	DDX27	0	26.574	1.0876	26.574	3.7234	353.1	2.2222	17.097	1	1.018e-65	2.036e-65	7.7336e-64	True
chr9:107901315-107901338	MON1A	0	26.574	1.0876	26.574	3.7234	353.1	2.2222	17.097	1	1.018e-65	2.036e-65	7.7336e-64	True
chr9:86574011-86574034	RWDD2A	2.1752	41.76	2.1752	41.76	3.7513	783.47	5.394	17.044	1	2.3462e-65	4.6925e-65	1.7678e-63	True
chr3:94886472-94886495	PSMB4	8.7008	108.2	8.7008	108.2	3.4927	4949.6	34.605	16.914	1	1.9207e-64	3.8413e-64	1.4353e-62	True
chr1:6240183-6240206	RB1CC1	3.2628	54.098	3.2628	54.098	3.6921	1292.1	9.1864	16.772	1	2.2658e-63	4.5317e-63	1.6796e-61	True
chr2:32297806-32297829	GOLGA2	4.3504	65.487	4.3504	65.487	3.6354	1868.8	13.482	16.651	1	1.6977e-62	3.3954e-62	1.2484e-60	True
chr18:61234700-61234723	PDE6A	2.1752	40.811	2.1752	40.811	3.719	746.35	5.394	16.635	1	2.3412e-62	4.6825e-62	1.708e-60	True
chr15:78539901-78539924	SSTR3	1.0876	25.625	1.0876	25.625	3.6729	301.05	2.2222	16.46	1	4.6071e-61	9.2141e-61	3.2828e-59	True
chr4:44983901-44983924	GRHPR	1.0876	25.625	1.0876	25.625	3.6729	301.05	2.2222	16.46	1	4.6071e-61	9.2141e-61	3.2828e-59	True
chr4:155841026-155841049	MXRA8	0	25.625	1.0876	25.625	3.6729	328.33	2.2222	16.46	1	4.6071e-61	9.2141e-61	3.2828e-59	True
chr2:110862873-110862896	ANO3	2.1752	39.862	2.1752	39.862	3.6858	710.13	5.394	16.227	1	1.9781e-59	3.9562e-59	1.3987e-57	True
chr10:121571943-121571966	TBK1	5.438	74.029	5.438	74.029	3.5428	2352.3	18.211	16.073	1	2.1994e-58	4.3988e-58	1.5433e-56	True
chr4:41720851-41720874	DCTN3	8.7008	102.5	8.7008	102.5	3.4154	4399.3	34.605	15.946	1	1.6445e-57	3.289e-57	1.1452e-55	True
chr9:35171152-35171175	DCPS	4.3504	62.64	4.3504	62.64	3.5722	1698.8	13.482	15.875	1	5.3378e-57	1.0676e-56	3.6891e-55	True
chr9:119341651-119341674	ACAA1A	0	24.676	1.0876	24.676	3.6205	304.46	2.2222	15.824	1	1.3922e-56	2.7843e-56	9.273e-55	True
chr7:19385840-19385863	ERCC2	0	24.676	1.0876	24.676	3.6205	304.46	2.2222	15.824	1	1.3922e-56	2.7843e-56	9.273e-55	True
chr4:62428393-62428416	RNF183	0	24.676	1.0876	24.676	3.6205	304.46	2.2222	15.824	1	1.3922e-56	2.7843e-56	9.273e-55	True
chr17:34049613-34049636	COL11A2	0	24.676	1.0876	24.676	3.6205	304.46	2.2222	15.824	1	1.3922e-56	2.7843e-56	9.273e-55	True
chr15:48001603-48001626	CSMD3	0	24.676	1.0876	24.676	3.6205	304.46	2.2222	15.824	1	1.3922e-56	2.7843e-56	9.273e-55	True
chr1:3671024-3671047	XKR4	2.1752	38.913	2.1752	38.913	3.6519	674.82	5.394	15.818	1	1.4151e-56	2.8303e-56	9.3582e-55	True
chr2:163854080-163854103	KCNK15	0	23.727	1.0876	23.727	3.5662	281.49	2.2222	15.187	1	2.8094e-52	5.6187e-52	1.7809e-50	True
chr11:6515914-6515937	MYO1G	0	23.727	1.0876	23.727	3.5662	281.49	2.2222	15.187	1	2.8094e-52	5.6187e-52	1.7809e-50	True
chr7:19732991-19733014	PVRL2	0	23.727	1.0876	23.727	3.5662	281.49	2.2222	15.187	1	2.8094e-52	5.6187e-52	1.7809e-50	True
chr7:43408949-43408972	SIGLECG	0	23.727	1.0876	23.727	3.5662	281.49	2.2222	15.187	1	2.8094e-52	5.6187e-52	1.7809e-50	True
chr7:127591420-127591443	RNF40	0	23.727	1.0876	23.727	3.5662	281.49	2.2222	15.187	1	2.8094e-52	5.6187e-52	1.7809e-50	True
chr15:3347564-3347587	GHR	5.438	70.232	5.438	70.232	3.4679	2099.2	18.211	15.183	1	2.5392e-52	5.0784e-52	1.6672e-50	True
chr4:117880896-117880919	B4GALT2	6.5256	79.723	6.5256	79.723	3.4231	2679	23.33	15.154	1	3.8807e-52	7.7614e-52	2.4432e-50	True
chr18:3423547-3423570	CUL2	3.2628	48.403	3.2628	48.403	3.5347	1018.8	9.1864	14.893	1	2.1155e-50	4.231e-50	1.3228e-48	True
chr4:145154900-145154923	VPS13D	27.19	220.19	27.19	220.19	2.972	18624	170.99	14.759	1	1.3641e-49	2.7282e-49	8.472e-48	True
chr12:111410252-111410275	A230065H16RIK	5.438	68.334	5.438	68.334	3.4289	1978	18.211	14.738	1	2.0302e-49	4.0605e-49	1.2525e-47	True
chr8:104309561-104309584	CMTM1	8.7008	94.909	8.7008	94.909	3.3055	3715.9	34.605	14.655	1	6.7435e-49	1.3487e-48	4.1324e-47	True
chr17:24896895-24896918	NME3	0	22.778	1.0876	22.778	3.5097	259.42	2.2222	14.55	1	3.7864e-48	7.5728e-48	2.2601e-46	True
chr15:51799255-51799278	EIF3H	0	22.778	1.0876	22.778	3.5097	259.42	2.2222	14.55	1	3.7864e-48	7.5728e-48	2.2601e-46	True
chr17:36988669-36988692	H2-M5	0	22.778	1.0876	22.778	3.5097	259.42	2.2222	14.55	1	3.7864e-48	7.5728e-48	2.2601e-46	True
chr7:24405897-24405920	1500002O20RIK	0	22.778	1.0876	22.778	3.5097	259.42	2.2222	14.55	1	3.7864e-48	7.5728e-48	2.2601e-46	True
chr2:29788556-29788579	COQ4	6.5256	75.927	6.5256	75.927	3.3536	2408.3	23.33	14.369	1	4.4731e-47	8.9461e-47	2.6527e-45	True
chr7:132850675-132850698	METTL10	5.438	65.487	5.438	65.487	3.3684	1802.9	18.211	14.071	1	3.1728e-45	6.3456e-45	1.8695e-43	True
chr6:48707993-48708016	GIMAP6	1.0876	21.829	1.0876	21.829	3.451	215.1	2.2222	13.914	1	3.409e-44	6.818e-44	1.9463e-42	True
chr4:144703914-144703937	GM13178	0	21.829	1.0876	21.829	3.451	238.25	2.2222	13.914	1	3.409e-44	6.818e-44	1.9463e-42	True
chr7:63919315-63919338	E030018B13RIK	0	21.829	1.0876	21.829	3.451	238.25	2.2222	13.914	1	3.409e-44	6.818e-44	1.9463e-42	True
chrX:167497882-167497905	FRMPD4	0	21.829	1.0876	21.829	3.451	238.25	2.2222	13.914	1	3.409e-44	6.818e-44	1.9463e-42	True
chr4:115785167-115785190	ATPAF1	1.0876	21.829	1.0876	21.829	3.451	215.1	2.2222	13.914	1	3.409e-44	6.818e-44	1.9463e-42	True
chr6:34356311-34356334	AKR1B8	4.3504	55.047	4.3504	55.047	3.3889	1285.1	13.482	13.807	1	1.3058e-43	2.6116e-43	7.4092e-42	True
chr8:111876510-111876533	TMEM170	7.6132	81.621	7.6132	81.621	3.2619	2738.6	28.803	13.79	1	1.5895e-43	3.1789e-43	8.9634e-42	True
chr7:103320564-103320587	OLFR597	2.1752	34.167	2.1752	34.167	3.4693	511.74	5.394	13.775	1	2.1889e-43	4.3779e-43	1.2194e-41	True
chr10:128641100-128641123	IKZF4	2.1752	34.167	2.1752	34.167	3.4693	511.74	5.394	13.775	1	2.1889e-43	4.3779e-43	1.2194e-41	True
chr9:64162737-64162760	ZWILCH	20.664	167.99	20.664	167.99	2.9635	10852	115.83	13.689	1	6.0821e-43	1.2164e-42	3.3679e-41	True
chr16:32806687-32806710	GM933	3.2628	44.607	3.2628	44.607	3.4194	854.68	9.1864	13.641	1	1.331e-42	2.6619e-42	7.3259e-41	True
chr2:170119955-170119978	ZFP217	7.6132	79.723	7.6132	79.723	3.2284	2599.9	28.803	13.436	1	2.0111e-41	4.0222e-41	1.0938e-39	True
chr1:134971940-134971963	UBE2T	7.6132	79.723	7.6132	79.723	3.2284	2599.9	28.803	13.436	1	2.0111e-41	4.0222e-41	1.0938e-39	True
chr12:40692992-40693015	DOCK4	3.2628	43.658	3.2628	43.658	3.389	815.89	9.1864	13.328	1	9.2881e-41	1.8576e-40	5.0222e-39	True
chr3:30896109-30896132	GPR160	0	20.88	1.0876	20.88	3.3897	217.99	2.2222	13.277	1	2.0505e-40	4.1011e-40	1.0895e-38	True
chr1:20812613-20812636	MCM3	0	20.88	1.0876	20.88	3.3897	217.99	2.2222	13.277	1	2.0505e-40	4.1011e-40	1.0895e-38	True
chr5:116180840-116180863	CCDC60	0	20.88	1.0876	20.88	3.3897	217.99	2.2222	13.277	1	2.0505e-40	4.1011e-40	1.0895e-38	True
chr11:99014957-99014980	TOP2A	3.2628	42.709	3.2628	42.709	3.3581	778	9.1864	13.015	1	5.8794e-39	1.1759e-38	3.0882e-37	True
chr16:10835274-10835297	A630055G03RIK	3.2628	42.709	3.2628	42.709	3.3581	778	9.1864	13.015	1	5.8794e-39	1.1759e-38	3.0882e-37	True
chr4:155641600-155641623	CDK11B	13.051	113.89	13.051	113.89	3.0315	5084.3	60.722	12.941	1	1.3923e-38	2.7847e-38	7.2718e-37	True
chr18:34842911-34842934	REEP2	8.7008	84.469	8.7008	84.469	3.1392	2870.4	34.605	12.88	1	3.1312e-38	6.2623e-38	1.6261e-36	True
chr5:121637245-121637268	ACAD10	3.2628	41.76	3.2628	41.76	3.3264	741.01	9.1864	12.701	1	3.376e-37	6.752e-37	1.7434e-35	True
chr3:94886534-94886557	PSMB4	39.154	254.36	39.154	254.36	2.6689	23156	288.03	12.68	1	3.8438e-37	7.6875e-37	1.9738e-35	True
chr1:65121328-65121351	D630023F18RIK	0	19.931	1.0876	19.931	3.3257	198.62	2.2222	12.64	1	8.2421e-37	1.6484e-36	4.1857e-35	True
