id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
TOMT	5	0.020393	0.064124	0.745625	83	4	-0.75533	0.42464	0.59265	0.999995	554	1	-0.75533
TOR1A	5	0.021136	0.066243	0.761258	84	4	-1.3771	0.34885	0.53154	0.999995	493	1	-1.3771
PPP2R5D	5	0.021847	0.068183	0.761258	85	4	-0.91537	0.4098	0.58053	0.999995	542	1	-0.91537
NCAPD3	4	0.022033	0.063668	0.745625	86	3	-0.93674	0.3929	0.53851	0.999995	531	1	-0.93674
CDCA3	5	0.022107	0.068847	0.761258	87	4	-0.87108	0.97802	0.97764	0.999995	954	0	-0.87108
GIMAP6	5	0.022211	0.069114	0.761258	88	3	-1.5829	0.32166	0.50985	0.999995	476	2	-1.5829
USP8	5	0.022743	0.070579	0.761258	89	3	-0.9628	0.21188	0.39263	0.987908	383	1	-0.9628
ZFP800	5	0.02277	0.070668	0.761258	90	3	-0.46505	0.53701	0.68452	0.999995	637	2	-0.46505
POLA2	5	0.022833	0.070797	0.761258	91	4	-0.77739	0.98838	0.9884	0.999995	967	0	-0.77739
COL4A1	5	0.023576	0.072718	0.773594	92	4	-1.7009	0.76053	0.80355	0.999995	768	1	-1.7009
RNF40	5	0.024934	0.076252	0.793342	93	4	-1.3959	0.97758	0.97727	0.999995	953	0	-1.3959
MTERFD1	5	0.025041	0.07653	0.793342	94	4	-0.96113	0.76192	0.80446	0.999995	769	1	-0.96113
COL11A2	5	0.025443	0.07745	0.793342	95	3	-1.4403	0.21293	0.39398	0.987908	385	2	-1.4403
PIGW	5	0.026053	0.079054	0.79853	96	4	-1.0901	0.60714	0.74207	0.999995	690	1	-1.0901
ADAM23	5	0.026458	0.080203	0.80203	97	4	-0.85651	0.97954	0.97921	0.999995	957	0	-0.85651
LAMP1	5	0.02713	0.082124	0.813107	98	4	-1.1213	0.84685	0.85459	0.999995	824	1	-1.1213
MRC2	5	0.028282	0.085203	0.835323	99	3	-1.305	0.91734	0.918	0.999995	881	0	-1.305
NCS1	4	0.028455	0.077748	0.793342	100	3	-1.2787	0.97803	0.97853	0.999995	955	0	-1.2787
VCL	5	0.0291	0.087411	0.848649	101	4	-1.15	0.62536	0.748	0.999995	700	1	-1.15
ZFP217	5	0.030142	0.090183	0.852076	102	4	-0.81541	0.98598	0.9859	0.999995	966	0	-0.81541
RELA	5	0.030714	0.091569	0.852076	103	4	-0.65784	0.99409	0.99397	0.999995	976	0	-0.65784
SLC25A19	5	0.030796	0.091698	0.852076	104	4	-0.38684	0.044387	0.12669	0.856001	141	1	-0.38684
GADD45GIP1	5	0.030816	0.091738	0.852076	105	3	-1.116	0.66977	0.76388	0.999995	724	1	-1.116
SPRN	5	0.031293	0.092876	0.852076	106	4	-0.90125	0.73448	0.7909	0.999995	754	1	-0.90125
APEX1	5	0.034756	0.10172	0.900158	107	2	0.10332	0.36133	0.54219	0.999995	503	2	0.10332
RSPH3B	2	0.034975	0.063193	0.745625	108	1	-2.2093	0.20226	0.2696	0.959473	370	1	-2.2093
DNAJC8	4	0.03581	0.0925	0.852076	109	3	-0.99249	0.21347	0.36004	0.985605	386	1	-0.99249
RPUSD2	5	0.036682	0.10683	0.915672	110	3	-1.6032	0.15779	0.31522	0.969336	311	2	-1.6032
OLFR1030	5	0.036809	0.10713	0.915672	111	2	0.31187	0.20129	0.37803	0.987908	367	3	0.31187
NPPC	5	0.03789	0.10978	0.922293	112	4	-1.5351	0.98945	0.98931	0.999995	970	0	-1.5351
IDI2	4	0.038236	0.097243	0.876059	113	3	-0.8723	0.59938	0.675	0.999995	684	1	-0.8723
TBK1	5	0.038368	0.11085	0.922293	114	4	-0.79429	0.86288	0.8668	0.999995	833	1	-0.79429
GM5538	5	0.038464	0.11112	0.922293	115	4	-0.53138	0.83981	0.84948	0.999995	818	1	-0.53138
ZFP28	5	0.038657	0.11163	0.922293	116	4	-0.42729	0.9743	0.97417	0.999995	950	0	-0.42729
MRPL16	5	0.038971	0.11252	0.922293	117	3	-1.1478	0.42043	0.58915	0.999995	547	2	-1.1478
NR2C2AP	4	0.039172	0.099233	0.886006	118	3	-0.93358	0.83847	0.83868	0.999995	814	1	-0.93358
SCAND1	5	0.040123	0.11534	0.936069	119	4	-0.75514	0.64386	0.75474	0.999995	709	1	-0.75514
EFNB3	5	0.04082	0.11732	0.936069	120	4	-1.2993	0.85493	0.86048	0.999995	828	1	-1.2993
MRPL53	5	0.041343	0.11882	0.936069	121	3	-1.2315	0.53418	0.68211	0.999995	633	1	-1.2315
ARFGAP1	5	0.041474	0.11917	0.936069	122	4	-0.62086	0.20101	0.3776	0.987908	366	1	-0.62086
MON1A	5	0.041549	0.11934	0.936069	123	2	0.36062	0.06624	0.17664	0.893092	182	3	0.36062
ZDHHC1	4	0.041625	0.10423	0.914322	124	3	-0.78667	0.62339	0.68756	0.999995	699	1	-0.78667
2310033P09RIK	5	0.041757	0.11982	0.936069	125	4	-1.7449	0.3687	0.54802	0.999995	513	1	-1.7449
NME3	5	0.042525	0.12184	0.94447	126	3	-0.55767	0.56579	0.70854	0.999995	659	1	-0.55767
CTNND1	5	0.043086	0.12339	0.949162	127	3	-1.2575	0.1814	0.34914	0.977861	347	2	-1.2575
A530032D15RIK	3	0.044097	0.10583	0.915672	128	1	0.24274	0.55216	0.58589	0.999995	648	1	0.24274
MN1	5	0.044507	0.12665	0.953266	129	2	-0.2151	0.18542	0.35501	0.985605	349	2	-0.2151
ACTR2	5	0.044537	0.1267	0.953266	130	4	-0.7691	0.99447	0.99446	0.999995	977	0	-0.7691
MRPL21	5	0.044643	0.12695	0.953266	131	4	-0.64655	0.91748	0.91814	0.999995	882	0	-0.64655
SIGLECG	5	0.045008	0.12774	0.953266	132	2	0.77576	0.038243	0.11101	0.81847	128	3	0.77576
PITPNM1	5	0.046919	0.13275	0.965182	133	4	-0.86508	0.87133	0.87366	0.999995	839	1	-0.86508
ZMIZ1	5	0.047592	0.13459	0.965182	134	4	-1.5397	0.81029	0.83056	0.999995	791	1	-1.5397
CYP1A1	5	0.048593	0.13709	0.965182	135	4	-0.61528	0.23325	0.42249	0.999545	409	1	-0.61528
SURF4	5	0.049101	0.13837	0.965182	136	2	0.1942	0.3487	0.53143	0.999995	492	2	0.1942
OLFR414	5	0.049274	0.13883	0.965182	137	4	-0.6004	0.76807	0.80758	0.999995	770	1	-0.6004
GLT8D2	5	0.049674	0.13989	0.965182	138	4	-0.56013	0.98853	0.98848	0.999995	968	0	-0.56013
ITGB7	5	0.050174	0.14113	0.965182	139	3	-1.6598	0.7829	0.81505	0.999995	776	1	-1.6598
THRAP3	5	0.050174	0.14113	0.965182	140	3	-1.8492	0.92435	0.92488	0.999995	892	0	-1.8492
SLC6A5	5	0.051063	0.14329	0.965182	141	4	-1.4363	0.63568	0.75166	0.999995	704	1	-1.4363
3110062M04RIK	5	0.051203	0.14365	0.965182	142	2	0.32259	0.17784	0.34417	0.977861	341	3	0.32259
KLK13	5	0.051716	0.14478	0.965182	143	3	-0.5302	0.091731	0.21743	0.913574	224	1	-0.5302
SEC61B	1	0.051732	0.052084	0.667746	144	1	-2.8193	0.94827	0.94855	0.999995	922	0	-2.8193
MAPK4	5	0.053952	0.15035	0.971789	145	3	-0.52707	0.74193	0.79441	0.999995	760	1	-0.52707
PRL2C3	2	0.054066	0.095965	0.872412	146	2	-0.98766	0.94593	0.94534	0.999995	918	0	-0.98766
HDAC10	5	0.054193	0.15075	0.971789	147	3	-0.76065	0.88096	0.8821	0.999995	849	1	-0.76065
MMP2	5	0.054323	0.15093	0.971789	148	3	-0.35115	0.12207	0.26268	0.959473	261	2	-0.35115
PRKCDBP	5	0.054354	0.15098	0.971789	149	3	-0.91331	0.94667	0.947	0.999995	919	0	-0.91331
GRAMD1C	5	0.054693	0.1516	0.971789	150	2	0.090752	0.045512	0.12929	0.860826	142	2	0.090752
OLFR1487	4	0.055858	0.13197	0.965182	151	2	-0.35649	0.32814	0.47415	0.999995	482	2	-0.35649
RBM18	5	0.05606	0.15376	0.977911	152	2	-0.33736	0.37282	0.55127	0.999995	515	2	-0.33736
FAM43A	5	0.058474	0.15756	0.982125	153	3	-1.3113	0.9682	0.96838	0.999995	944	0	-1.3113
RXRB	5	0.059318	0.15895	0.982125	154	3	-0.94146	0.46937	0.62826	0.999995	580	1	-0.94146
CCT6B	5	0.060037	0.16	0.982125	155	1	0.61533	0.068689	0.1805	0.893092	186	3	0.61533
WDR4	5	0.060426	0.16062	0.982125	156	3	-1.3499	0.46334	0.6227	0.999995	575	2	-1.3499
ZBTB39	5	0.061718	0.1627	0.982125	157	3	-0.8169	0.87581	0.87778	0.999995	843	1	-0.8169
ZWILCH	5	0.062108	0.16329	0.982125	158	3	-0.38013	0.97719	0.97691	0.999995	952	0	-0.38013
DCTN3	4	0.062503	0.14463	0.965182	159	3	-1.1906	0.90542	0.90416	0.999995	871	0	-1.1906
ESF1	5	0.06252	0.16401	0.982125	160	2	0.12747	0.56303	0.70624	0.999995	658	2	0.12747
PDE4A	5	0.063143	0.165	0.982172	161	2	-0.239	0.46514	0.62433	0.999995	576	2	-0.239
ADAM30	4	0.064179	0.14785	0.971789	162	3	-0.94078	0.50775	0.63222	0.999995	614	1	-0.94078
USP9X	5	0.065708	0.16908	0.999361	163	2	-0.1182	0.8046	0.82697	0.999995	787	1	-0.1182
OLFR53	3	0.066119	0.13703	0.965182	164	1	-0.25825	0.90893	0.90904	0.999995	874	0	-0.25825
TTF2	5	0.06668	0.17081	0.999361	165	3	-0.62518	0.8691	0.8719	0.999995	836	1	-0.62518
CCNB1	4	0.067759	0.15451	0.977911	166	3	-0.64676	0.94028	0.93938	0.999995	915	0	-0.64676
SSTR3	5	0.068321	0.17339	0.999361	167	3	-1.3386	0.66389	0.76185	0.999995	716	1	-1.3386
ACAA1A	5	0.068361	0.17342	0.999361	168	3	-0.56683	0.8664	0.86952	0.999995	834	1	-0.56683
IKZF4	5	0.069554	0.17557	0.999361	169	3	-0.58492	0.81528	0.83353	0.999995	796	1	-0.58492
HCFC1R1	3	0.070897	0.14367	0.965182	170	2	-1.4084	0.52881	0.56995	0.999995	628	1	-1.4084
GPR149	5	0.07328	0.1817	0.999361	171	3	-0.74393	0.025333	0.077906	0.805049	86	1	-0.74393
NPW	5	0.07328	0.1817	0.999361	172	3	-1.3564	0.82922	0.84257	0.999995	810	1	-1.3564
FOXC1	5	0.07328	0.1817	0.999361	173	3	-1.9462	0.95587	0.95632	0.999995	928	0	-1.9462
DVL2	5	0.074402	0.1834	0.999361	174	2	-0.02776	0.15921	0.31752	0.969336	314	2	-0.02776
PAPOLA	5	0.075299	0.18491	0.999361	175	3	-0.65847	0.96765	0.96799	0.999995	942	0	-0.65847
PFKM	5	0.075943	0.18586	0.999361	176	3	-0.56661	0.9074	0.90724	0.999995	873	0	-0.56661
1200016B10RIK	5	0.077184	0.18792	0.999361	177	2	0.12397	0.33723	0.52224	0.999995	485	2	0.12397
CCDC106	5	0.078036	0.18913	0.999361	178	3	-0.73568	0.00046434	0.0020347	0.616832	3	2	-0.73568
MCM3AP	5	0.078746	0.19032	0.999361	179	2	-0.34027	0.037971	0.11045	0.81847	127	2	-0.34027
FAM125A	5	0.078746	0.19032	0.999361	180	2	-0.9628	0.50057	0.65426	0.999995	606	2	-0.9628
EPHA10	5	0.078746	0.19032	0.999361	181	3	-0.70408	0.84563	0.85378	0.999995	822	1	-0.70408
B4GALT2	5	0.08032	0.19296	0.999361	182	3	-0.49384	0.060037	0.16409	0.893092	170	1	-0.49384
TMEM170	3	0.081023	0.15764	0.982125	183	1	0.21753	0.22199	0.341	0.977861	398	1	0.21753
OTP	5	0.084805	0.20037	0.999361	184	3	-0.84294	0.93883	0.93969	0.999995	914	0	-0.84294
ZFP157	5	0.085158	0.20092	0.999361	185	2	0.15057	0.13427	0.28077	0.959473	283	2	0.15057
PSMC3IP	5	0.085158	0.20092	0.999361	186	1	0.089953	0.9373	0.93817	0.999995	912	0	0.089953
CLTA	5	0.085272	0.20108	0.999361	187	2	-0.40525	0.95002	0.95011	0.999995	924	0	-0.40525
TRIM24	5	0.086571	0.20314	0.999361	188	3	-0.73665	0.97287	0.97271	0.999995	949	0	-0.73665
PDE6A	5	0.087724	0.20505	0.999361	189	3	-0.95273	0.46716	0.62617	0.999995	578	2	-0.95273
4833420G17RIK	5	0.088251	0.20603	0.999361	190	3	-1.1734	0.95837	0.95891	0.999995	931	0	-1.1734
6330409D20RIK	4	0.088589	0.19386	0.999361	191	3	-0.59835	0.94542	0.94454	0.999995	917	0	-0.59835
SALL3	5	0.089713	0.20858	0.999361	192	1	0.19433	0.33288	0.51855	0.999995	484	2	0.19433
ZFP334	5	0.089735	0.20862	0.999361	193	3	-0.82525	0.29459	0.48796	0.999995	462	1	-0.82525
XPO5	5	0.090589	0.21007	0.999361	194	3	-0.62813	0.53359	0.68158	0.999995	632	2	-0.62813
2310033E01RIK	5	0.091663	0.21188	0.999361	195	3	-1.187	0.15779	0.31522	0.969336	312	1	-1.187
DPH2	5	0.092202	0.2128	0.999361	196	3	-1.0687	0.97905	0.97866	0.999995	956	0	-1.0687
SAP30BP	5	0.092739	0.21364	0.999361	197	3	-0.62324	0.93278	0.93347	0.999995	903	0	-0.62324
PCM1	5	0.093318	0.21483	0.999361	198	3	-0.57813	0.63519	0.75144	0.999995	703	1	-0.57813
PTGER1	5	0.093987	0.21599	0.999361	199	3	-0.94282	0.18037	0.34775	0.977861	345	2	-0.94282
GINS3	4	0.094312	0.20432	0.999361	200	2	-1.3912	0.33906	0.48514	0.999995	487	1	-1.3912
LPCAT3	5	0.094489	0.21665	0.999361	201	2	-0.13615	0.62137	0.74678	0.999995	698	1	-0.13615
ETV1	2	0.095062	0.16363	0.982125	202	2	-0.48426	0.90494	0.90421	0.999995	870	0	-0.48426
EFHA1	5	0.095665	0.21855	0.999361	203	3	-0.91007	0.30024	0.49228	0.999995	466	2	-0.91007
OTOF	5	0.096246	0.21944	0.999361	204	3	-0.78956	0.92338	0.92376	0.999995	889	0	-0.78956
SH3PXD2B	5	0.097185	0.22087	0.999361	205	3	-0.43593	0.81947	0.8361	0.999995	800	1	-0.43593
ACOT12	5	0.097355	0.22123	0.999361	206	3	-0.62835	0.069554	0.18209	0.893092	187	2	-0.62835
OLFR993	4	0.098511	0.21143	0.999361	207	1	0.31706	0.10083	0.21653	0.913574	239	2	0.31706
NOV	5	0.099931	0.22531	0.999361	208	3	-1.15	0.0016326	0.0069554	0.689081	9	2	-1.15
SPEER4B	2	0.10079	0.17299	0.999361	209	2	-1.1874	0.89921	0.89812	0.999995	867	0	-1.1874
1500002O20RIK	4	0.10083	0.21587	0.999361	210	2	-0.70534	0.74279	0.75891	0.999995	761	1	-0.70534
RECQL5	5	0.10163	0.22746	0.999361	211	3	-0.71147	0.84268	0.8516	0.999995	819	1	-0.71147
PRTN3	5	0.10214	0.22803	0.999361	212	2	-0.00076149	0.015692	0.052144	0.805049	57	2	-0.00076149
MEPE	5	0.10277	0.22902	0.999361	213	3	-0.91026	0.41655	0.58611	0.999995	545	2	-0.91026
AXIN2	5	0.10283	0.22914	0.999361	214	2	0.41401	0.14348	0.29455	0.965395	296	3	0.41401
GEN1	5	0.10346	0.2302	0.999361	215	3	-0.62348	0.79483	0.82159	0.999995	784	1	-0.62348
CARF	5	0.10542	0.23326	0.999361	216	3	-0.73992	0.88016	0.88148	0.999995	848	1	-0.73992
TBC1D22B	5	0.10561	0.23355	0.999361	217	2	-0.24448	0.5153	0.66644	0.999995	619	2	-0.24448
CMTM1	5	0.10676	0.23542	0.999361	218	2	0.22713	0.40425	0.57581	0.999995	538	2	0.22713
MLLT6	5	0.10682	0.23553	0.999361	219	3	-1.0761	0.95968	0.96008	0.999995	933	0	-1.0761
YPEL2	3	0.10892	0.19538	0.999361	220	2	-0.96105	0.81711	0.81767	0.999995	798	0	-0.96105
NKX1-2	5	0.10976	0.23999	0.999361	221	3	-0.92256	0.92386	0.92424	0.999995	891	0	-0.92256
BRD8	5	0.10999	0.24023	0.999361	222	3	-0.83821	0.10008	0.23056	0.929675	236	2	-0.83821
LYPD3	5	0.11017	0.24051	0.999361	223	2	-0.39776	0.73523	0.79121	0.999995	756	1	-0.39776
TUSC1	5	0.11212	0.24333	0.999361	224	2	0.09006	0.2244	0.41078	0.994618	401	1	0.09006
CCDC60	5	0.11266	0.24421	0.999361	225	2	0.00060361	0.035956	0.10547	0.81847	123	2	0.00060361
RB1CC1	5	0.11346	0.24529	0.999361	226	3	-0.88152	0.35237	0.53464	0.999995	496	2	-0.88152
IRF5	5	0.11346	0.24529	0.999361	227	3	-0.65916	0.32304	0.51072	0.999995	479	2	-0.65916
METTL7A2	4	0.11404	0.23963	0.999361	228	2	-0.45446	0.93473	0.93398	0.999995	908	0	-0.45446
MIB1	5	0.11518	0.24771	0.999361	229	1	0.26066	0.42573	0.59344	0.999995	556	2	0.26066
BCL2L14	5	0.11527	0.24784	0.999361	230	3	-0.88553	0.36018	0.54112	0.999995	501	2	-0.88553
0610009O20RIK	5	0.11576	0.24854	0.999361	231	3	-0.70744	0.17986	0.34692	0.977861	344	1	-0.70744
OLFR1085	3	0.11638	0.20507	0.999361	232	2	-0.42292	0.60921	0.62801	0.999995	692	1	-0.42292
MOG	5	0.11805	0.25197	0.999361	233	3	-0.45932	0.074096	0.18942	0.893092	195	2	-0.45932
KLK1B26	4	0.11897	0.248	0.999361	234	2	-0.62195	0.82964	0.83003	0.999995	811	1	-0.62195
SLC26A1	5	0.11956	0.25417	0.999361	235	3	-0.78303	0.19345	0.36697	0.986538	360	2	-0.78303
CYP2J6	5	0.12059	0.25584	0.999361	236	3	-0.47869	0.92827	0.9287	0.999995	896	0	-0.47869
MAOB	5	0.12059	0.25584	0.999361	237	2	-0.27158	0.78338	0.81539	0.999995	777	1	-0.27158
