sgrna	Gene	control_count	treatment_count	control_mean	treat_mean	LFC	control_var	adj_var	score	p.low	p.high	p.twosided	FDR	high_in_treatment
chr1:154204833-154204856	ZFP648	24.676	133.77	24.676	133.77	2.392	5951.2	148.95	8.9392	1	2.0041e-19	4.0083e-19	1.3159e-16	True
chr10:79880542-79880565	PRTN3	43.658	204.47	43.658	204.47	2.2019	12930	336.83	8.7621	1	9.6641e-19	1.9328e-18	5.7913e-16	True
chr8:105285536-105285559	4931428F04RIK	36.065	176.19	36.065	176.19	2.2572	9817.6	256.01	8.7578	1	1.0081e-18	2.0161e-18	5.7913e-16	True
chr4:155841661-155841684	MXRA8	78.774	324.1	78.774	324.1	2.0269	30093	791.14	8.7222	1	1.3678e-18	2.7357e-18	7.396e-16	True
chr5:151063109-151063132	STARD13	106.3	405.67	106.3	405.67	1.9223	44813	1224.4	8.5558	1	5.8578e-18	1.1716e-17	2.9914e-15	True
chr1:75482835-75482858	TMEM198	15.185	89.183	15.185	89.183	2.4782	2737.8	75.054	8.5414	1	6.9031e-18	1.3806e-17	3.3396e-15	True
chr2:117259242-117259265	FAM98B	78.774	316.49	78.774	316.49	1.9927	28255	791.14	8.4515	1	1.4413e-17	2.8827e-17	6.6244e-15	True
chr7:19696937-19696960	APOE	48.403	213.17	48.403	213.17	2.1161	13574	390.8	8.3347	1	3.9136e-17	7.8271e-17	1.713e-14	True
chr9:86574191-86574214	RWDD2A	6.6436	46.767	6.6436	46.767	2.6437	804.93	23.907	8.206	1	1.2526e-16	2.5052e-16	5.2335e-14	True
chr2:113364975-113364998	FMN1	43.658	193.59	43.658	193.59	2.1235	11240	336.83	8.1695	1	1.5616e-16	3.1232e-16	6.2411e-14	True
chr3:62604098-62604121	GPR149	194.56	635.16	194.56	635.16	1.7018	97062	2970.4	8.0841	1	3.1322e-16	6.2643e-16	1.1996e-13	True
chr16:36620904-36620927	CD86	159.45	539.45	159.45	539.45	1.7521	72201	2217	8.0705	1	3.5021e-16	7.0043e-16	1.2877e-13	True
chr6:85959252-85959275	DUSP11	43.658	191.42	43.658	191.42	2.1072	10916	336.83	8.051	1	4.1419e-16	8.2838e-16	1.4643e-13	True
chr18:37334675-37334698	PCDHB6	23.727	118.55	23.727	118.55	2.2734	4495.5	140.88	7.9887	1	6.9767e-16	1.3953e-15	2.3752e-13	True
chr8:88627669-88627692	SNX20	16.134	88.095	16.134	88.095	2.3784	2589.2	81.72	7.9604	1	8.9066e-16	1.7813e-15	2.9239e-13	True
chr11:77968921-77968944	SEZ6	27.524	131.6	27.524	131.6	2.2169	5415.9	173.99	7.8903	1	1.5355e-15	3.071e-15	4.867e-13	True
chr16:22865474-22865497	DNAJB11	77.825	296.91	77.825	296.91	1.9182	24000	777.31	7.8582	1	1.9537e-15	3.9074e-15	5.9861e-13	True
chr10:75927176-75927199	MMP11	64.538	255.59	64.538	255.59	1.969	18250	592.35	7.8497	1	2.0931e-15	4.1863e-15	6.2065e-13	True
chr7:5059516-5059539	CCDC106	69.283	268.64	69.283	268.64	1.9398	19871	656.54	7.7802	1	3.6318e-15	7.2635e-15	1.0432e-12	True
chr2:51148295-51148318	RND3	68.334	264.29	68.334	264.29	1.9359	19199	643.53	7.7244	1	5.6388e-15	1.1278e-14	1.5707e-12	True
chr5:116157548-116157571	CCDC60	11.389	65.256	11.389	65.256	2.419	1450.8	50.227	7.6007	1	1.5569e-14	3.1138e-14	4.2091e-12	True
chr1:106946656-106946679	SERPINB12	44.607	185.98	44.607	185.98	2.0355	9993.1	347.42	7.5847	1	1.6804e-14	3.3608e-14	4.4133e-12	True
chr7:120174034-120174057	ANKS4B	13.287	72.869	13.287	72.869	2.3702	1775	62.261	7.551	1	2.2635e-14	4.527e-14	5.7795e-12	True
chr7:41481194-41481217	AW146154	185.07	576.43	185.07	576.43	1.6338	76579	2759.8	7.4496	1	4.6804e-14	9.3609e-14	1.1628e-11	True
chrX:57390061-57390084	RBMX	16.134	82.657	16.134	82.657	2.2876	2212.7	81.72	7.3588	1	9.6348e-14	1.927e-13	2.3306e-11	True
chr9:39484887-39484910	OLFR44	97.756	339.33	97.756	339.33	1.785	29179	1083.4	7.3392	1	1.0761e-13	2.1522e-13	2.5362e-11	True
chr17:36965210-36965233	ZNRD1AS	90.163	317.58	90.163	317.58	1.8051	25859	962.97	7.3285	1	1.1662e-13	2.3323e-13	2.6798e-11	True
chr15:3341031-3341054	GHR	113.89	382.83	113.89	382.83	1.7402	36165	1354.2	7.3083	1	1.3541e-13	2.7082e-13	3.0359e-11	True
chr11:115624197-115624220	SLC25A19	75.927	275.16	75.927	275.16	1.844	19847	749.91	7.2755	1	1.7307e-13	3.4614e-13	3.7878e-11	True
chr6:149144342-149144365	4833442J19RIK	52.2	202.29	52.2	202.29	1.9341	11264	435.78	7.19	1	3.2609e-13	6.5218e-13	6.9707e-11	True
chrX:66654263-66654286	SLITRK2	78.774	278.43	78.774	278.43	1.8085	19930	791.14	7.0982	1	6.3373e-13	1.2675e-12	1.3239e-10	True
chr17:33433519-33433542	ACTL9	117.69	385.01	117.69	385.01	1.7015	35731	1420.7	7.0922	1	6.6072e-13	1.3214e-12	1.3496e-10	True
chr9:39511486-39511509	OLFR957	14.236	72.869	14.236	72.869	2.2775	1718.9	68.566	7.0809	1	7.483e-13	1.4966e-12	1.4953e-10	True
chr4:148164279-148164302	FBXO2	66.436	240.36	66.436	240.36	1.8396	15125	617.77	6.9975	1	1.3075e-12	2.615e-12	2.5571e-10	True
chr15:98168584-98168607	AI836003	45.556	177.28	45.556	177.28	1.9371	8675.4	358.11	6.9607	1	1.707e-12	3.4141e-12	3.269e-10	True
chr1:88407402-88407425	SPP2	20.88	95.709	20.88	95.709	2.144	2799.7	117.54	6.902	1	2.6348e-12	5.2696e-12	4.9426e-10	True
chr8:94913234-94913257	CCDC102A	1.8982	16.314	1.8982	16.314	2.5787	103.91	4.5206	6.7802	1	7.3713e-12	1.4743e-11	1.3286e-09	True
chr7:99099458-99099481	UVRAG	79.723	271.9	79.723	271.9	1.7573	18466	805.03	6.7732	1	6.3147e-12	1.2629e-11	1.1609e-09	True
chr19:10517212-10517235	SDHAF2	74.978	255.59	74.978	255.59	1.7558	16310	736.33	6.6558	1	1.4128e-11	2.8256e-11	2.4974e-09	True
chr17:46298625-46298648	DLK2	3.7963	26.102	3.7963	26.102	2.4984	248.78	11.236	6.6546	1	1.6299e-11	3.2598e-11	2.724e-09	True
chrX:142343375-142343398	ACSL4	6.6436	39.154	6.6436	39.154	2.3932	528.45	23.907	6.6489	1	1.6169e-11	3.2338e-11	2.724e-09	True
chr8:70756486-70756509	RAB3A	71.182	244.71	71.182	244.71	1.7673	15056	682.81	6.6408	1	1.5649e-11	3.1299e-11	2.7141e-09	True
chr7:119819538-119819561	2610020H08RIK	63.589	222.96	63.589	222.96	1.7939	12699	579.76	6.6188	1	1.8184e-11	3.6368e-11	2.9847e-09	True
chr4:117881076-117881099	B4GALT2	57.894	206.64	57.894	206.64	1.8179	11063	506.13	6.6119	1	1.9069e-11	3.8139e-11	3.0752e-09	True
chr5:35075379-35075402	DOK7	10.44	54.38	10.44	54.38	2.2753	965.36	44.513	6.5859	1	2.4018e-11	4.8036e-11	3.7419e-09	True
chr5:120771189-120771212	OAS3	72.131	245.8	72.131	245.8	1.7548	15080	696.07	6.5825	1	2.3202e-11	4.6403e-11	3.6771e-09	True
chr6:142756991-142757014	CMAS	57.894	205.56	57.894	205.56	1.8103	10902	506.13	6.5635	1	2.6406e-11	5.2812e-11	4.0454e-09	True
chr10:79891995-79892018	CFD	71.182	242.53	71.182	242.53	1.7544	14681	682.81	6.5576	1	2.7436e-11	5.4872e-11	4.1343e-09	True
chr4:126611910-126611933	5730409E04RIK	18.033	81.57	18.033	81.57	2.1171	2018.5	95.563	6.4996	1	4.1632e-11	8.3264e-11	6.1723e-09	True
chr9:107900139-107900162	MON1A	108.2	338.24	108.2	338.24	1.6354	26461	1256.4	6.49	1	4.2954e-11	8.5908e-11	6.2672e-09	True
chr12:119189864-119189887	ITGB8	54.098	192.5	54.098	192.5	1.8123	9578.2	458.86	6.4613	1	5.2207e-11	1.0441e-10	7.4983e-09	True
chr11:70971817-70971840	RPAIN	2.8473	20.664	2.8473	20.664	2.4934	158.72	7.6733	6.432	1	7.4247e-11	1.4849e-10	1.05e-08	True
chr11:59327667-59327690	WNT9A	16.134	73.957	16.134	73.957	2.1292	1671.7	81.72	6.3963	1	8.2645e-11	1.6529e-10	1.151e-08	True
chr5:88461688-88461711	AMBN	111.04	338.24	111.04	338.24	1.5983	25810	1305	6.2892	1	1.5969e-10	3.1938e-10	2.1908e-08	True
chr8:106874149-106874172	HAS3	15.185	69.606	15.185	69.606	2.1251	1480.8	75.054	6.2817	1	1.7437e-10	3.4873e-10	2.357e-08	True
chr13:32724836-32724859	MYLK4	147.11	425.25	147.11	425.25	1.525	38682	1969.9	6.2668	1	1.8441e-10	3.6882e-10	2.4566e-08	True
chr15:32177377-32177400	TAS2R119	63.589	214.26	63.589	214.26	1.7367	11350	579.76	6.2574	1	1.965e-10	3.93e-10	2.5804e-08	True
chr16:32806806-32806829	GM933	68.334	226.22	68.334	226.22	1.7125	12464	643.53	6.2239	1	2.4341e-10	4.8682e-10	3.1513e-08	True
chr15:69017414-69017437	KHDRBS3	55.996	192.5	55.996	192.5	1.7634	9317.3	482.31	6.2158	1	2.5665e-10	5.1331e-10	3.2766e-08	True
chr6:128404972-128404995	NRIP2	28.473	112.02	28.473	112.02	1.9392	3490.3	182.6	6.183	1	3.2008e-10	6.4016e-10	3.9759e-08	True
chrX:57389504-57389527	RBMX	28.473	112.02	28.473	112.02	1.9392	3490.3	182.6	6.183	1	3.2008e-10	6.4016e-10	3.9759e-08	True
chr2:34948364-34948387	TRAF1	13.287	61.993	13.287	61.993	2.1405	1186.1	62.261	6.1727	1	3.5194e-10	7.0388e-10	4.2538e-08	True
chr17:47701689-47701712	FRS3	51.251	178.37	51.251	178.37	1.7794	8079.2	424.39	6.1704	1	3.4275e-10	6.855e-10	4.2008e-08	True
chr1:90816215-90816238	COL6A3	37.963	140.3	37.963	140.3	1.8586	5236.4	275.55	6.165	1	3.5633e-10	7.1266e-10	4.2538e-08	True
chr16:76293224-76293247	NRIP1	54.098	185.98	54.098	185.98	1.7628	8696.3	458.86	6.1567	1	3.7364e-10	7.4728e-10	4.3832e-08	True
chr16:4716313-4716336	NMRAL1	23.727	96.796	23.727	96.796	1.9837	2669.5	140.88	6.1561	1	3.8148e-10	7.6297e-10	4.3832e-08	True
chr3:92317658-92317681	SPRR2B	16.134	71.781	16.134	71.781	2.0867	1548.3	81.72	6.1557	1	3.8812e-10	7.7623e-10	4.4044e-08	True
chr19:37995443-37995466	MYOF	43.658	156.61	43.658	156.61	1.8194	6379.5	336.83	6.1547	1	3.7946e-10	7.5891e-10	4.3832e-08	True
chr7:28782774-28782797	SIRT2	5.6945	32.628	5.6945	32.628	2.3286	362.7	19.385	6.1173	1	5.2764e-10	1.0553e-09	5.8435e-08	True
chr7:120182282-120182305	ANKS4B	25.625	102.23	25.625	102.23	1.955	2934.5	157.16	6.1109	1	5.0555e-10	1.0111e-09	5.6671e-08	True
chr2:174456603-174456626	TUBB1	10.44	51.117	10.44	51.117	2.1877	827.32	44.513	6.0969	1	5.7463e-10	1.1493e-09	6.288e-08	True
chr6:132754905-132754928	TAS2R124	57.894	194.68	57.894	194.68	1.7323	9355.2	506.13	6.0801	1	6.0357e-10	1.2071e-09	6.5271e-08	True
chr11:5837582-5837605	POLM	27.524	107.67	27.524	107.67	1.9298	3211.9	173.99	6.0763	1	6.2642e-10	1.2528e-09	6.6954e-08	True
chr12:84829318-84829341	LTBP2	11.389	54.38	11.389	54.38	2.1603	924.11	50.227	6.0661	1	6.9281e-10	1.3856e-09	7.2367e-08	True
chr7:43721118-43721141	KLK13	134.77	387.19	134.77	387.19	1.5156	31857	1732.5	6.0642	1	6.635e-10	1.327e-09	7.0102e-08	True
chr1:181211293-181211316	WDR26	17.084	73.957	17.084	73.957	2.0514	1617.3	88.558	6.0436	1	7.8077e-10	1.5615e-09	8.0639e-08	True
chrX:107870402-107870425	FAM46D	80.672	253.41	80.672	253.41	1.6392	14919	819.01	6.0359	1	7.9223e-10	1.5845e-09	8.0913e-08	True
chr11:118503727-118503750	RBFOX3	108.2	321.93	108.2	321.93	1.5643	22841	1256.4	6.0298	1	8.2175e-10	1.6435e-09	8.3006e-08	True
chr14:37131636-37131659	GHITM	53.149	180.54	53.149	180.54	1.7453	8114.4	447.27	6.0236	1	8.5793e-10	1.7159e-09	8.5718e-08	True
chr17:24474679-24474702	9930021D14RIK	38.913	140.3	38.913	140.3	1.8238	5139.7	285.49	6.0006	1	9.937e-10	1.9874e-09	9.8216e-08	True
chr5:53058436-53058459	SLC34A2	25.625	100.06	25.625	100.06	1.9243	2770.2	157.16	5.9374	1	1.4778e-09	2.9556e-09	1.4451e-07	True
chr13:58033230-58033253	KLHL3	127.18	362.17	127.18	362.17	1.5025	27611	1591.5	5.8905	1	1.9263e-09	3.8526e-09	1.8639e-07	True
chr4:123909875-123909898	MYCBP	85.418	261.02	85.418	261.02	1.6003	15419	890.05	5.8862	1	1.9806e-09	3.9611e-09	1.8964e-07	True
chr11:70971801-70971824	RPAIN	166.09	450.27	166.09	450.27	1.4334	40378	2354	5.8571	1	2.3555e-09	4.711e-09	2.2322e-07	True
chr1:94022821-94022844	NEU4	18.982	78.307	18.982	78.307	1.9888	1759.7	102.73	5.8532	1	2.4877e-09	4.9754e-09	2.3334e-07	True
chr9:107548671-107548694	ZMYND10	39.862	139.21	39.862	139.21	1.7788	4935.3	295.54	5.7792	1	3.7921e-09	7.5842e-09	3.5209e-07	True
chr15:77389777-77389800	APOL7A	59.792	192.5	59.792	192.5	1.6704	8806.3	530.32	5.7629	1	4.1525e-09	8.3049e-09	3.8169e-07	True
chr14:41132807-41132830	SFTPA1	126.23	352.38	126.23	352.38	1.4738	25573	1574.1	5.7001	1	5.9908e-09	1.1982e-08	5.4523e-07	True
chrX:141613590-141613613	COL4A5	47.454	157.7	47.454	157.7	1.7116	6077.2	379.8	5.657	1	7.7583e-09	1.5517e-08	6.9916e-07	True
chr2:28735517-28735540	AK8	8.5418	41.329	8.5418	41.329	2.1493	537.49	33.737	5.6448	1	8.897e-09	1.7794e-08	7.9399e-07	True
chr11:118398427-118398450	LGALS3BP	12.338	54.38	12.338	54.38	2.0538	883.76	56.146	5.6108	1	1.0599e-08	2.1198e-08	9.3678e-07	True
chr16:58448847-58448870	DCBLD2	62.64	195.77	62.64	195.77	1.6285	8861.5	567.27	5.5895	1	1.1433e-08	2.2867e-08	1.0009e-06	True
chr2:79354953-79354976	CERKL	80.672	240.36	80.672	240.36	1.5633	12750	819.01	5.5799	1	1.2064e-08	2.4127e-08	1.0364e-06	True
chr2:155834548-155834571	FAM83C	101.55	290.39	101.55	290.39	1.5066	17830	1145.4	5.5797	1	1.2064e-08	2.4127e-08	1.0364e-06	True
chr15:77488618-77488641	APOL10A	142.36	383.92	142.36	383.92	1.4249	29175	1877.4	5.5749	1	1.2388e-08	2.4775e-08	1.0543e-06	True
chr2:167306618-167306641	B4GALT5	55.996	178.37	55.996	178.37	1.654	7487.2	482.31	5.572	1	1.2658e-08	2.5315e-08	1.0674e-06	True
chr11:69357000-69357023	CHD3	40.811	137.04	40.811	137.04	1.7231	4629.8	305.7	5.5036	1	1.8787e-08	3.7574e-08	1.5699e-06	True
chr11:75756812-75756835	YWHAE	27.524	100.06	27.524	100.06	1.825	2630.7	173.99	5.4991	1	1.9441e-08	3.8882e-08	1.6099e-06	True
chr11:99949051-99949074	KRTAP9-5	70.232	212.08	70.232	212.08	1.5808	10061	669.63	5.4816	1	2.1143e-08	4.2286e-08	1.7352e-06	True
chr17:31443196-31443219	PDE9A	49.353	158.79	49.353	158.79	1.666	5988.2	401.9	5.4589	1	2.4123e-08	4.8245e-08	1.9623e-06	True
chr17:40602380-40602403	GM20580	26.574	96.796	26.574	96.796	1.8264	2465.6	165.51	5.4584	1	2.4496e-08	4.8993e-08	1.9662e-06	True
chr13:70793151-70793174	ADAMTS16	127.18	344.77	127.18	344.77	1.4317	23673	1591.5	5.4543	1	2.4599e-08	4.9197e-08	1.9662e-06	True
chr16:5072076-5072099	UBN1	35.116	120.72	35.116	120.72	1.7529	3664.3	246.41	5.4536	1	2.4996e-08	4.9993e-08	1.9808e-06	True
chr7:48388774-48388797	MRGPRB8	242.02	590.57	242.02	590.57	1.2835	60743	4096.6	5.4457	1	2.581e-08	5.162e-08	2.0277e-06	True
chrX:38066821-38066844	RHOX10	21.829	82.657	21.829	82.657	1.8736	1850.1	125.17	5.4369	1	2.7819e-08	5.5637e-08	2.1488e-06	True
chr8:92836067-92836090	MMP2	21.829	82.657	21.829	82.657	1.8736	1850.1	125.17	5.4369	1	2.7819e-08	5.5637e-08	2.1488e-06	True
chr11:58382800-58382823	2210415F13RIK	157.55	410.02	157.55	410.02	1.3743	31872	2178.4	5.4094	1	3.1624e-08	6.3249e-08	2.4224e-06	True
chr5:97391994-97392017	NAA11	69.283	206.64	69.283	206.64	1.5629	9433.9	656.54	5.3608	1	4.1567e-08	8.3133e-08	3.1355e-06	True
chr9:109146607-109146630	FBXW21	93.96	265.37	93.96	265.37	1.4881	14691	1022.6	5.3603	1	4.1616e-08	8.3232e-08	3.1355e-06	True
chr16:22866946-22866969	DNAJB11	32.269	110.94	32.269	110.94	1.7504	3094.2	218.32	5.324	1	5.1504e-08	1.0301e-07	3.818e-06	True
chr4:148043451-148043474	MTHFR	98.705	275.16	98.705	275.16	1.4698	15569	1098.8	5.3232	1	5.1044e-08	1.0209e-07	3.8146e-06	True
chr5:107721683-107721706	GFI1	6.6436	32.628	6.6436	32.628	2.1373	337.59	23.907	5.3143	1	5.8634e-08	1.1727e-07	4.2775e-06	True
chr10:127286472-127286495	MBD6	73.08	214.26	73.08	214.26	1.5389	9965.5	709.41	5.3005	1	5.7917e-08	1.1583e-07	4.259e-06	True
chr9:81632297-81632320	HTR1B	11.389	48.942	11.389	48.942	2.0112	705.11	50.227	5.2988	1	6.1624e-08	1.2325e-07	4.4254e-06	True
chr2:152343115-152343138	TRIB3	90.163	254.5	90.163	254.5	1.4868	13503	962.97	5.2957	1	5.9393e-08	1.1879e-07	4.2988e-06	True
chr1:58398990-58399013	BZW1	77.825	224.05	77.825	224.05	1.5135	10690	777.31	5.2446	1	7.8535e-08	1.5707e-07	5.5961e-06	True
chr19:10417990-10418013	SYT7	21.829	80.482	21.829	80.482	1.8356	1720.1	125.17	5.2425	1	8.1294e-08	1.6259e-07	5.7481e-06	True
chr5:138456000-138456023	ZFP157	179.38	448.09	179.38	448.09	1.316	36103	2635.8	5.234	1	8.2974e-08	1.6595e-07	5.8221e-06	True
chr8:94913101-94913124	CCDC102A	22.778	82.657	22.778	82.657	1.8149	1792.8	132.96	5.1931	1	1.0598e-07	2.1196e-07	7.3799e-06	True
chr8:23902010-23902033	ZMAT4	35.116	116.37	35.116	116.37	1.7004	3301.3	246.41	5.1765	1	1.1452e-07	2.2904e-07	7.9146e-06	True
chr9:95678337-95678360	PCOLCE2	38.913	126.16	38.913	126.16	1.6717	3806.2	285.49	5.1638	1	1.2231e-07	2.4462e-07	8.3902e-06	True
chr1:173332561-173332584	DARC	70.232	203.38	70.232	203.38	1.5207	8864.3	669.63	5.1454	1	1.3393e-07	2.6786e-07	9.1192e-06	True
chr7:43408950-43408973	SIGLECG	28.473	97.884	28.473	97.884	1.7464	2409	182.6	5.1367	1	1.4231e-07	2.8462e-07	9.6133e-06	True
chr14:49322315-49322338	SLC35F4	49.353	152.26	49.353	152.26	1.6059	5295.4	401.9	5.1334	1	1.4328e-07	2.8656e-07	9.6133e-06	True
chr7:28732780-28732803	FBXO17	64.538	189.24	64.538	189.24	1.5374	7775.6	592.35	5.1238	1	1.5031e-07	3.0061e-07	1.0012e-05	True
chr2:163828837-163828860	WISP2	87.316	242.53	87.316	242.53	1.4634	12046	919	5.1202	1	1.5291e-07	3.0583e-07	1.0085e-05	True
chr4:150087930-150087953	GPR157	112.94	300.18	112.94	300.18	1.4023	17529	1337.8	5.1192	1	1.536e-07	3.072e-07	1.0085e-05	True
chr14:59419299-59419322	SETDB2	66.436	193.59	66.436	193.59	1.5289	8084.4	617.77	5.1159	1	1.5668e-07	3.1336e-07	1.0214e-05	True
chr16:90386694-90386717	HUNK	58.843	175.1	58.843	175.1	1.5572	6758.2	518.18	5.1073	1	1.642e-07	3.2839e-07	1.0604e-05	True
chr5:63937930-63937953	RELL1	69.283	200.12	69.283	200.12	1.5168	8558.9	656.54	5.1061	1	1.6497e-07	3.2994e-07	1.0604e-05	True
chrX:44367778-44367801	DCAF12L2	6.6436	31.54	6.6436	31.54	2.0899	309.92	23.907	5.0919	1	1.9417e-07	3.8834e-07	1.2225e-05	True
chr7:107933748-107933771	OLFR473	144.26	366.52	144.26	366.52	1.3392	24700	1914.3	5.0799	1	1.8886e-07	3.7772e-07	1.2056e-05	True
chr7:24140557-24140580	ZFP235	208.8	500.3	208.8	500.3	1.2567	42485	3295.8	5.0776	1	1.9118e-07	3.8236e-07	1.2119e-05	True
chr8:25986376-25986399	4930444A02RIK	25.625	89.183	25.625	89.183	1.7601	2019.8	157.16	5.0699	1	2.0319e-07	4.0638e-07	1.2706e-05	True
chr13:83635435-83635458	MEF2C	28.473	96.796	28.473	96.796	1.7304	2334.1	182.6	5.0562	1	2.1767e-07	4.3534e-07	1.3428e-05	True
chr10:74210423-74210446	PCDH15	74.029	209.91	74.029	209.91	1.4911	9231.4	722.83	5.054	1	2.1702e-07	4.3404e-07	1.3428e-05	True
chr14:49313797-49313820	SLC35F4	148.06	373.05	148.06	373.05	1.3273	25310	1988.6	5.0453	1	2.2649e-07	4.5299e-07	1.388e-05	True
chr3:123672176-123672199	NDST3	39.862	126.16	39.862	126.16	1.6378	3723.8	295.54	5.02	1	2.6103e-07	5.2205e-07	1.589e-05	True
chr2:30038378-30038401	WDR34	37.963	120.72	37.963	120.72	1.6434	3424.6	275.55	4.9857	1	3.1221e-07	6.2442e-07	1.8732e-05	True
chr19:4189862-4189885	TBC1D10C	37.963	120.72	37.963	120.72	1.6434	3424.6	275.55	4.9857	1	3.1221e-07	6.2442e-07	1.8732e-05	True
chr7:15627194-15627217	OBOX3	116.74	303.44	116.74	303.44	1.3706	17429	1404	4.9827	1	3.1382e-07	6.2765e-07	1.8732e-05	True
chr2:119035256-119035279	RPUSD2	39.862	125.07	39.862	125.07	1.6254	3630.6	295.54	4.9567	1	3.6214e-07	7.2428e-07	2.1338e-05	True
chr7:24544954-24544977	2310033E01RIK	39.862	125.07	39.862	125.07	1.6254	3630.6	295.54	4.9567	1	3.6214e-07	7.2428e-07	2.1338e-05	True
chr11:70006319-70006342	DVL2	16.134	60.906	16.134	60.906	1.8532	1002.2	81.72	4.9526	1	3.8026e-07	7.6052e-07	2.2263e-05	True
chr1:193330164-193330187	LAMB3	15.185	57.643	15.185	57.643	1.8573	901.31	75.054	4.9008	1	4.9707e-07	9.9414e-07	2.8557e-05	True
chr9:64020730-64020753	SMAD6	15.185	57.643	15.185	57.643	1.8573	901.31	75.054	4.9008	1	4.9707e-07	9.9414e-07	2.8557e-05	True
chr17:23779784-23779807	FLYWCH2	166.09	403.5	166.09	403.5	1.2755	28181	2354	4.8932	1	4.9616e-07	9.9232e-07	2.8557e-05	True
chr2:32259907-32259930	UCK1	55.047	160.96	55.047	160.96	1.531	5609.3	470.53	4.8828	1	5.2579e-07	1.0516e-06	3.0019e-05	True
chr4:58872609-58872632	AI314180	42.709	130.51	42.709	130.51	1.5892	3854.7	326.35	4.8604	1	5.9116e-07	1.1823e-06	3.3543e-05	True
chrX:8273631-8273654	SLC38A5	79.723	217.52	79.723	217.52	1.4367	9493.9	805.03	4.8566	1	5.9863e-07	1.1973e-06	3.3758e-05	True
chr2:5973561-5973584	UPF2	11.389	45.679	11.389	45.679	1.9137	587.91	50.227	4.8384	1	6.9189e-07	1.3838e-06	3.8545e-05	True
chr15:73544410-73544433	DENND3	86.367	231.66	86.367	231.66	1.4131	10555	904.49	4.831	1	6.8054e-07	1.3611e-06	3.8143e-05	True
chr16:43992086-43992109	GRAMD1C	40.811	125.07	40.811	125.07	1.5923	3550.1	305.7	4.8194	1	7.2717e-07	1.4543e-06	4.025e-05	True
chr2:85414422-85414445	OLFR993	78.774	214.26	78.774	214.26	1.4321	9177.8	791.14	4.8168	1	7.3126e-07	1.4625e-06	4.025e-05	True
chrX:72382801-72382824	MAGEA10	68.334	190.33	68.334	190.33	1.4644	7441.4	643.53	4.809	1	7.6096e-07	1.5219e-06	4.1635e-05	True
chr2:104727148-104727171	DEPDC7	86.367	230.57	86.367	230.57	1.4063	10397	904.49	4.7949	1	8.1558e-07	1.6312e-06	4.436e-05	True
chr4:128617083-128617106	TLR12	13.287	51.117	13.287	51.117	1.867	715.55	62.261	4.7943	1	8.5557e-07	1.7111e-06	4.599e-05	True
chr14:70465525-70465548	PHYHIP	52.2	152.26	52.2	152.26	1.5265	5006.4	435.78	4.7934	1	8.2508e-07	1.6502e-06	4.4613e-05	True
chr17:37300304-37300327	OLFR101	55.996	160.96	55.996	160.96	1.5067	5509.2	482.31	4.7797	1	8.8271e-07	1.7654e-06	4.7174e-05	True
chr3:55117438-55117461	SPG20	31.32	100.06	31.32	100.06	1.6447	2362.5	209.2	4.7525	1	1.0202e-06	2.0405e-06	5.4208e-05	True
